                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0127,                 5.4572,                 3.7652,                0.07662,                0.27862,                0.05918,                0.01917,                 2.4215,                  34.85,                 3.4514,               0.070049,              0.0033278,              0.0033278
                      1,                 2.5342,                 3.8313,                 3.0346,                0.50684,                0.14568,                0.10143,                0.05198,                 2.2463,                  6.838,                 2.5295,               0.039918,              0.0065293,              0.0065293
                      2,                 2.2405,                 3.5642,                 2.6373,                0.27858,                0.35005,                0.24045,                0.13271,                 1.5879,                 31.093,                 2.2239,              0.0096536,              0.0095987,              0.0095987
                      3,                 1.8326,                 3.0759,                 2.2806,                0.65378,                 0.2794,                0.28085,                 0.1018,                 1.4478,                 4.5238,                 1.9699,               0.009406,               0.009406,               0.009406
                      4,                 1.6078,                 2.7303,                 2.0336,                0.50785,                0.36723,                0.35564,                0.22049,                 0.9946,                 2.8154,                 1.5847,               0.009406,               0.009406,               0.009406
                      5,                 1.4205,                 2.3299,                 1.8732,                0.58257,                0.39833,                0.44918,                0.28572,                 1.1442,                  2.635,                  1.567,               0.009208,               0.009208,               0.009208
                      6,                 1.3452,                 2.1757,                 1.7751,                0.76923,                0.57132,                0.67538,                0.39585,                 1.0513,                 1.6178,                 1.4648,                0.00901,                0.00901,                0.00901
                      7,                  1.233,                 2.0609,                 1.6938,                0.78984,                 0.4483,                0.70224,                0.48498,                0.91699,                 1.5449,                 1.4153,               0.008812,               0.008812,               0.008812
                      8,                 1.1234,                 1.8667,                 1.5629,                0.63381,                0.70064,                0.75332,                0.48753,                0.89306,                 2.2748,                 1.3707,               0.008614,               0.008614,               0.008614
                      9,                 1.1012,                 1.6685,                 1.5549,                0.89294,                0.59223,                0.78572,                0.59128,                0.86455,                 1.2526,                 1.3296,               0.008416,               0.008416,               0.008416
                     10,                 1.0618,                 1.6248,                 1.4954,                0.64968,                0.66856,                0.75036,                0.58315,                0.77891,                 1.2659,                 1.2181,               0.008218,               0.008218,               0.008218
                     11,                  1.043,                 1.5362,                 1.4764,                 0.5367,                0.77962,                0.70168,                0.50916,                 0.7613,                 2.7609,                 1.2281,                0.00802,                0.00802,                0.00802
                     12,                0.99291,                 1.4957,                  1.426,                0.62238,                0.81182,                0.75983,                0.57847,                0.73945,                 1.7004,                 1.1703,               0.007822,               0.007822,               0.007822
                     13,                0.92118,                 1.3643,                 1.3548,                0.66301,                0.72545,                0.77139,                0.57624,                0.74635,                 1.4526,                  1.152,               0.007624,               0.007624,               0.007624
                     14,                0.88179,                 1.3825,                  1.328,                0.73016,                0.69002,                0.78118,                0.57518,                0.73003,                 1.9581,                 1.1578,               0.007426,               0.007426,               0.007426
                     15,                0.86301,                 1.2957,                 1.2869,                0.55863,                0.86008,                0.73729,                0.58995,                 0.6065,                  2.218,                 1.0462,               0.007228,               0.007228,               0.007228
                     16,                0.84216,                 1.2194,                 1.2658,                0.68024,                0.77009,                0.80722,                0.61704,                0.72914,                 1.8414,                 1.1052,                0.00703,                0.00703,                0.00703
                     17,                0.84588,                 1.2364,                 1.2849,                0.87971,                0.71724,                0.86152,                0.68567,                0.61798,                0.97398,                 1.0313,               0.006832,               0.006832,               0.006832
                     18,                 0.8288,                 1.1993,                 1.2399,                 0.6931,                0.66167,                 0.7898,                 0.6014,                0.73003,                 1.3227,                   1.14,               0.006634,               0.006634,               0.006634
                     19,                0.84954,                 1.1725,                 1.2797,                 0.8339,                0.77046,                0.86711,                0.67919,                0.71721,                 1.1532,                0.99815,               0.006436,               0.006436,               0.006436
                     20,                0.78038,                 1.1764,                 1.1968,                0.89186,                0.73656,                0.87935,                0.71269,                0.63033,                 0.9306,                 1.0506,               0.006238,               0.006238,               0.006238
                     21,                0.80087,                 1.1064,                 1.2248,                0.71378,                0.82736,                0.82146,                0.65926,                0.62718,                0.92206,                 1.0527,                0.00604,                0.00604,                0.00604
                     22,                0.75461,                 1.0246,                 1.1769,                0.62853,                0.84226,                0.80908,                0.65135,                0.57426,                 1.4858,                 1.0022,               0.005842,               0.005842,               0.005842
                     23,                0.76093,                 1.0291,                 1.1994,                0.72564,                0.83739,                0.87376,                0.68664,                0.65426,                 1.4554,                 1.0099,               0.005644,               0.005644,               0.005644
                     24,                0.72204,                0.93477,                 1.1316,                0.86697,                0.77922,                0.90171,                0.71584,                0.61655,                0.87269,                 0.9959,               0.005446,               0.005446,               0.005446
                     25,                0.77407,                0.94738,                 1.1844,                0.81797,                0.81857,                0.90485,                0.74039,                0.55856,                 1.0057,                0.93425,               0.005248,               0.005248,               0.005248
                     26,                0.71043,                0.91465,                 1.1407,                0.71145,                0.88166,                0.80976,                0.65252,                0.56348,                 2.7089,                0.96773,                0.00505,                0.00505,                0.00505
                     27,                0.65876,                0.91428,                 1.0922,                0.98016,                0.81144,                 0.9433,                0.74913,                0.62994,                0.73929,                 0.9522,               0.004852,               0.004852,               0.004852
                     28,                0.69656,                0.87504,                 1.1278,                0.76701,                0.87219,                0.87005,                0.73267,                0.49772,                 2.6635,                0.88543,               0.004654,               0.004654,               0.004654
                     29,                0.70312,                0.89408,                 1.1162,                0.65995,                0.87201,                0.83117,                0.67775,                0.56253,                 1.4821,                0.96642,               0.004456,               0.004456,               0.004456
                     30,                0.67889,                 0.8841,                 1.1007,                 0.8528,                0.69447,                0.86863,                0.70191,                0.64242,                 0.8657,                 1.0327,               0.004258,               0.004258,               0.004258
                     31,                0.69786,                0.85812,                 1.1187,                 0.8049,                0.77568,                0.87351,                 0.7266,                 0.5087,                 1.4038,                0.90529,                0.00406,                0.00406,                0.00406
                     32,                0.66064,                0.81407,                 1.0851,                0.84807,                0.84269,                 0.8576,                0.72568,                0.47782,                 2.1247,                0.87614,               0.003862,               0.003862,               0.003862
                     33,                0.64197,                 0.8476,                 1.0621,                0.84999,                 0.8053,                0.86734,                0.72857,                0.50536,                 1.0909,                 0.8904,               0.003664,               0.003664,               0.003664
                     34,                0.64912,                0.78121,                 1.0696,                0.98146,                0.80643,                0.94525,                0.78484,                0.52714,                0.77645,                0.90753,               0.003466,               0.003466,               0.003466
                     35,                0.60366,                0.75356,                  1.024,                0.76477,                0.81149,                0.82493,                0.68693,                0.53831,                 2.2347,                0.95797,               0.003268,               0.003268,               0.003268
                     36,                0.64659,                0.78106,                 1.0682,                0.77555,                0.80124,                0.88617,                0.73692,                0.53575,                 0.9099,                0.92279,                0.00307,                0.00307,                0.00307
                     37,                0.60656,                0.75215,                 1.0245,                0.95244,                0.83019,                0.93894,                0.78473,                0.53698,                0.68276,                0.88861,               0.002872,               0.002872,               0.002872
                     38,                0.61713,                 0.7801,                 1.0486,                  0.982,                0.76254,                0.93166,                 0.7957,                0.49184,                0.72125,                 0.8832,               0.002674,               0.002674,               0.002674
                     39,                0.60846,                0.76884,                 1.0288,                0.94404,                0.76012,                 0.9306,                0.77377,                0.54782,                0.79213,                0.93525,               0.002476,               0.002476,               0.002476
                     40,                0.43161,                0.53846,                0.85255,                0.89335,                0.85458,                0.92833,                0.78246,                0.52126,                0.72155,                0.88503,               0.002278,               0.002278,               0.002278
