                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9158,                 3.2876,                0.90737,                0.36005,                0.62277,                0.43811,                0.35805,                0.52212,                 1.6713,                0.67562,               0.070049,              0.0033278,              0.0033278
                      1,                0.75895,                 2.1667,                0.84341,                0.68335,                0.49306,                0.62451,                0.51142,                0.56028,                 1.7186,                0.70023,               0.039918,              0.0065293,              0.0065293
                      2,                0.82486,                 1.8543,                0.89401,                0.84193,                0.83693,                0.88604,                 0.6949,                0.61652,                 1.7349,                0.77422,              0.0096536,              0.0095987,              0.0095987
                      3,                0.90997,                 1.7728,                0.95092,                0.78679,                0.69823,                0.80316,                0.61399,                0.59311,                 1.1727,                0.76205,               0.009406,               0.009406,               0.009406
                      4,                0.91177,                 1.5541,                0.95583,                0.84303,                0.86121,                0.90815,                0.66188,                0.74253,                 1.0717,                0.89386,               0.009406,               0.009406,               0.009406
                      5,                0.86388,                 1.4011,                0.94654,                0.83173,                0.88263,                0.93516,                0.67629,                 0.7036,                 1.0575,                0.90437,               0.009208,               0.009208,               0.009208
                      6,                0.82505,                 1.2708,                0.93844,                0.92758,                0.95322,                0.98514,                0.76945,                0.64698,                 1.0716,                0.89756,                0.00901,                0.00901,                0.00901
                      7,                0.82177,                 1.2131,                0.93486,                0.86928,                0.88499,                0.95876,                0.75437,                0.56736,                 1.0286,                 0.8057,               0.008812,               0.008812,               0.008812
                      8,                 0.7788,                 1.1519,                 0.9084,                0.93376,                0.95345,                0.95046,                0.76326,                0.60681,                0.69456,                0.80461,               0.008614,               0.008614,               0.008614
                      9,                0.74712,                 1.0258,                0.89898,                0.95794,                0.91591,                0.95994,                0.76784,                0.65107,                0.76896,                0.86379,               0.008416,               0.008416,               0.008416
                     10,                0.74271,                0.90051,                 0.8885,                0.92573,                0.92532,                0.97536,                0.78436,                0.60043,                 1.0561,                0.79995,               0.008218,               0.008218,               0.008218
                     11,                0.72995,                 1.0228,                0.88775,                0.94772,                0.94839,                0.98256,                0.79285,                0.57624,                0.94626,                0.79695,                0.00802,                0.00802,                0.00802
                     12,                0.71128,                0.94637,                0.86126,                0.97251,                0.92015,                0.97239,                  0.784,                0.57198,                0.64729,                0.79344,               0.007822,               0.007822,               0.007822
                     13,                0.64827,                0.84039,                0.83924,                0.91453,                 0.9549,                0.98025,                0.80113,                0.55566,                0.70455,                0.79982,               0.007624,               0.007624,               0.007624
                     14,                0.65463,                0.85322,                0.85562,                0.97571,                0.90048,                0.97319,                0.79469,                0.54745,                0.68231,                0.76986,               0.007426,               0.007426,               0.007426
                     15,                0.67017,                 0.8786,                0.86285,                0.94582,                0.95753,                0.98849,                 0.8277,                0.51373,                0.70475,                 0.7521,               0.007228,               0.007228,               0.007228
                     16,                0.64315,                0.83232,                0.82855,                0.90078,                0.97537,                 0.9792,                0.75981,                0.58818,                0.81408,                0.84169,                0.00703,                0.00703,                0.00703
                     17,                0.62427,                0.79268,                0.83398,                 0.9553,                0.94684,                0.98862,                0.83006,                0.51711,                 0.6697,                0.74827,               0.006832,               0.006832,               0.006832
                     18,                0.63182,                0.78601,                0.83228,                0.96719,                0.93466,                0.95516,                0.79689,                0.50843,                0.76631,                0.77625,               0.006634,               0.006634,               0.006634
                     19,                0.63288,                0.75444,                0.86569,                0.97587,                0.92533,                0.96346,                0.81805,                0.48832,                0.65789,                0.77262,               0.006436,               0.006436,               0.006436
                     20,                 0.6087,                 0.7568,                0.83876,                0.93911,                0.95083,                0.98169,                 0.8437,                0.45605,                0.52426,                0.73239,               0.006238,               0.006238,               0.006238
